lead_time,resolution_k,in_sample_accuracy,out_sample_accuracy,in_sample_f1,out_sample_f1
1,1,0.9257370514971127,0.9194373350792612,0.830920313224383,0.8157230834890298
1,2,0.9247939026864401,0.9188064202527627,0.833650458138351,0.8200381569161734
1,3,0.9238502590442824,0.9206932127055929,0.8287828036377712,0.8199225769315408
1,5,0.9194441557927447,0.9118842132412753,0.8204362542465748,0.8025630721408235
1,6,0.9222759526743168,0.9175485586175427,0.826134001463223,0.8160865787558755
2,1,0.9067961862752995,0.8891593754340018,0.7847978879527439,0.7459911211005862
2,2,0.8992414677512282,0.891690970775549,0.7829361292283916,0.7638892670247441
2,3,0.8987691507090332,0.8790984663611292,0.7718653624448804,0.7269369775206294
2,5,0.8953043359745255,0.8834989980755112,0.7651508547493624,0.7345585714157046
2,6,0.8927867572808316,0.8853818225105649,0.760854945444751,0.744140144301084
3,1,0.8804314886171143,0.8752554411443763,0.7243888750971104,0.7160258936941057
3,2,0.8768103100587604,0.8689423248616153,0.7079630245530419,0.694130847462845
3,3,0.87523364543971,0.8645378251294566,0.7129994691514356,0.6842211241554971
3,5,0.8662536686460293,0.86454576116501,0.692602187539299,0.6910541855805014
3,6,0.8667264818847998,0.8614011070769596,0.6966925559642267,0.6813030904264783
4,1,0.8666413107516538,0.8423903339086959,0.6761505642272204,0.6169407378108593
4,2,0.8576571134528045,0.8474257484673531,0.6615187203631725,0.636753591366855
4,3,0.8560820636731773,0.8442850623970795,0.651546222569053,0.622239806976649
4,5,0.8472532335006326,0.8386127809852588,0.6111735188918502,0.5908974143528545
4,6,0.8499333785762406,0.8354582068527666,0.6362709387382857,0.6082319064263003
5,1,0.8408517350157728,0.8264984227129337,0.5668722071356009,0.5289261176386751
5,2,0.8460567823343847,0.8271293375394322,0.5959373802034977,0.539214775360036
5,3,0.8470031545741324,0.8277602523659306,0.5912163202708365,0.5348075653160398
5,5,0.8400630914826499,0.8252365930599369,0.5661417209671498,0.5138944721043984
5,6,0.8271293375394322,0.8138801261829652,0.5382267736284932,0.49524988987443086
6,1,0.8262313918718054,0.8087309827097393,0.5062405228499918,0.44520520257513924
6,2,0.8315945413667496,0.8188216268019008,0.5498831759998988,0.5098922089668221
6,3,0.8336466329216037,0.8169348720201255,0.5420095226791191,0.48514290553414907
6,5,0.81928361040636,0.805576408577247,0.456046419373315,0.3969271678074582
6,6,0.8153372804931791,0.8068422313620571,0.4204820261442168,0.4021968293793011
7,1,0.8103235491782531,0.801677115361578,0.4043051590136225,0.3769576858397864
7,2,0.8221691473059597,0.8124266262029309,0.44471758519394866,0.39771088134015226
7,3,0.8228005600920685,0.819364692728507,0.5004271707454276,0.4892961764610885
7,5,0.8186953794898075,0.8117877251128058,0.45683046305295427,0.41465071008876275
7,6,0.8144296025864982,0.8124226330711176,0.41150743100535586,0.3970172528008343
8,1,0.8102007505510492,0.798993730783053,0.38350152417694855,0.33828411971458944
8,2,0.8083042666516805,0.792672603122629,0.35912863337729295,0.31318997912644386
8,3,0.8083068892094237,0.8021483049155453,0.39962295247309204,0.3666280482113399
8,5,0.8113074699186382,0.8034221139639819,0.40346779428624685,0.3649608118504096
8,6,0.8005618517755341,0.7989977239148665,0.3355965441821347,0.3230225424150658
9,1,0.8028099514684544,0.7931697480333826,0.3567031156219027,0.31925170421738713
9,2,0.7971187521889227,0.788106456894142,0.33383379275253516,0.30006836632958267
9,3,0.8001244558963325,0.7874675558040172,0.3940236754423438,0.33859335555887277
9,5,0.8015466303097014,0.7899972048077307,0.35703789028662125,0.32872151982032555
9,6,0.7966426927502877,0.7862097192828335,0.29507301846023165,0.2598003569701893
10,1,0.8039556962025317,0.7778481012658228,0.3960066027337719,0.3133588903744872
10,2,0.8064873417721519,0.7892405063291139,0.37527974259867947,0.31612586039834173
10,3,0.7985759493670886,0.7835443037974684,0.3499905308302838,0.3071976579236533
10,5,0.8006329113924051,0.7892405063291139,0.345351521400074,0.3148964563403784
10,6,0.791613924050633,0.7829113924050632,0.29130911553360384,0.2693938793198681
11,1,0.8001869168245188,0.7783504118947157,0.3190173857479986,0.24596385008188584
11,2,0.806361436002285,0.7935543500100462,0.3465991352004165,0.3192123645766162
11,3,0.7973371869268469,0.7789853325296363,0.30374038989631635,0.25312424837664
11,5,0.7989204676428436,0.784689572031344,0.30127386962479286,0.25656685430022996
11,6,0.790845961494132,0.7783664858348402,0.2890626662120688,0.2566491351098644
12,1,0.7997415154971497,0.7832991762105685,0.3402198290013211,0.27892105266944744
12,2,0.8068692884022018,0.7915310427968656,0.3521181047363011,0.31058663311691387
12,3,0.7991062208185427,0.7959815149688567,0.3036937166526391,0.28222347449637486
12,5,0.795148270977084,0.7921639541892705,0.28712411437865604,0.27298813904766783
12,6,0.7902364380333596,0.7820233072131806,0.26380414601828284,0.24434995112414465
13,1,0.7994550648430108,0.787602973678923,0.2897724523611985,0.24776679956573036
13,2,0.7943826183782398,0.7812537673297166,0.2707545295699716,0.22187863682709041
13,3,0.802151211965449,0.7863351416515973,0.31588094315531834,0.23397705454906906
13,5,0.7928000945090494,0.784436407474382,0.27966854297625043,0.23594831984191403
13,6,0.790738867223583,0.7837934498693991,0.2410366671041939,0.21687462863933452
14,1,0.791081026648037,0.7849005424954792,0.2358880239773719,0.20957262562440554
14,2,0.7972665936583463,0.7893449869399236,0.28721888039627136,0.23622587291260028
14,3,0.7953634681469733,0.781725939320876,0.26256227766846313,0.20625306294252943
14,5,0.792349860906562,0.7772814948764315,0.23575563273666397,0.18021927979176328
14,6,0.7882261495663558,0.7785513361462728,0.2124949313640608,0.1814497677425174
15,1,0.7923809523809524,0.7784126984126983,0.26494146223886855,0.21780315735002048
15,2,0.8003174603174603,0.7803174603174603,0.2998121422299577,0.25939754689754685
15,3,0.7955555555555556,0.779047619047619,0.2673750403541685,0.21949482647236374
15,5,0.7893650793650794,0.7771428571428571,0.24976890440319796,0.20425665484489014
15,6,0.7853968253968254,0.779047619047619,0.21628030403221482,0.21224419323869478
16,1,0.7909754529293845,0.7884480841168738,0.22668210554551654,0.22950847090389467
16,2,0.7963763127702762,0.7814558689717924,0.2971624760773336,0.2496211392776823
16,3,0.7928794583758842,0.7865291679304417,0.2585465860491656,0.24309099235767237
16,5,0.7890684216498356,0.7820827014457589,0.20005473630433324,0.1761043510841843
16,6,0.785097394001286,0.7820968557274289,0.21126363013172095,0.18824361560561814
17,1,0.7813043384925831,0.7806773834799313,0.1607660391188988,0.1354583027035857
17,2,0.787343148409354,0.7838600748154888,0.21078665207697464,0.1817098880256775
17,3,0.7938609262909594,0.7781498331816803,0.25959306799642934,0.1929618122377055
17,5,0.778762512454051,0.7832271762208067,0.14894969300644625,0.15587955733586803
17,6,0.780829285109059,0.7749489434839754,0.1880577079184919,0.1759084377966988
18,1,0.7853003782949031,0.7786310787584673,0.24000475061785576,0.2038298202114584
18,2,0.7854588548958898,0.7862663026994238,0.1877495183256584,0.19120683418998669
18,3,0.7829162730047189,0.7741745020725912,0.18609781619994634,0.14484814971909454
18,5,0.7833924616740845,0.7824446466484684,0.1810444324741752,0.1793873407916846
18,6,0.7835516971414769,0.7760792639773533,0.1760918821100523,0.15174314574314574
